uuid,id,node,connected_assets,control_strategy,q_characteristics,operates_from,operates_until,operator
35c2d030-df32-4fa5-9b73-1209388c0463,EMS_NS_02,b7a5be0d-2662-41b2-99c6-3b8121a75e9e,1cd14dee-ddb1-44f3-bd16-7ec00e8aa1b6 0a672a08-fd9f-4829-b344-6d4e80a9b671 37bce71b-f669-4f6e-a22c-c09d5f73defc acbfd685-921c-4f1c-8381-91aa42fc0d8c 75d44982-4fd6-40b9-b7d6-627dc8bbba67,self_optimization,"cosPhiFixed:{(0.0, 0.9)}",,,
78d33289-012d-4e3a-90d2-e8f150a036c5,EMS_NS_03,1dcddd06-f41a-405b-9686-7f7942852196,f8edeebf-dd7b-4e60-8c52-2c2ff44f0556 43792d0b-72fa-4893-a3c9-12c316796492 1adce793-ee30-489e-a8f2-02b97e834689 6ebf7bee-a37f-4fd2-ae12-fdc898e52147 ee136e70-0849-4b53-86b9-9e035b04efc1,self_optimization,"cosPhiFixed:{(0.0, 0.9)}",,,
96a4c215-fdda-4e48-8516-91c576da1958,EMS_NS_04,e3c3c6a3-c383-4dbb-9b3f-a14125615386,721db625-e536-4dcd-b89e-b4cd5dc45896 ac912860-a402-4323-8dde-5a3bfe12b7ea 2bc8e138-7b3f-4586-8e8a-09a645b467a1 6ba10fe2-fd80-4d1d-b37c-e582823ec250 31727442-dc76-46af-820c-b5edc07e6229,self_optimization,"cosPhiFixed:{(0.0, 0.9)}",,,
